"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"292580 Queimadas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;3;-;-;-;2;-;-;3;1;1;-;-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;31
"292590 Quijingue";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;2;1;-;-;-;-;-;1;-;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;-;1;-;1;-;-;1;1;1;-;-;-;-;-;-;2;-;1;2;-;-;-;2;-;1;-;-;-;-;43
"292593 Quixabeira";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;21
"292595 Rafael Jambeiro";-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;2;-;-;-;1;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;2;2;-;-;2;-;-;-;1;-;-;2;-;1;1;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3;5;-;-;-;-;-;-;-;-;45
"292600 Remanso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;1;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;1;6;3;-;-;1;1;2;2;-;2;2;1;-;-;-;1;1;-;-;-;-;1;1;1;3;-;2;-;3;-;-;-;1;3;1;3;1;-;-;-;-;-;-;-;-;1;2;1;1;2;1;1;1;-;-;3;-;-;1;2;1;-;1;1;-;3;1;-;2;1;1;-;1;1;-;-;1;1;3;1;1;2;-;-;1;-;1;-;2;-;-;-;1;2;-;103
"292610 Retirolândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;23
"292620 Riachão das Neves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"292630 Riachão do Jacuípe";-;-;-;-;-;-;-;-;1;-;3;-;-;-;2;1;-;-;-;-;-;-;2;-;2;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;3;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;1;1;-;3;-;-;1;-;1;-;-;-;1;1;1;2;-;1;-;-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;1;1;-;-;3;-;-;1;-;1;2;-;3;1;-;1;1;3;-;-;-;-;3;-;-;-;-;2;1;1;-;-;-;-;1;-;1;1;-;1;-;1;-;-;-;-;-;-;1;1;-;2;1;-;-;-;-;79
"292640 Riacho de Santana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;1;1;-;-;2;2;1;-;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;1;1;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;1;-;-;45
"292650 Ribeira do Amparo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"292660 Ribeira do Pombal";-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;1;-;2;1;1;-;3;1;1;1;3;1;-;-;-;-;-;3;-;1;-;-;-;-;1;1;2;-;-;-;1;3;-;1;2;-;1;2;-;-;1;-;-;-;-;-;1;-;-;1;1;-;1;1;1;1;3;1;2;1;-;1;-;-;2;-;3;1;-;1;-;1;-;-;1;1;1;1;-;2;1;2;1;-;2;2;-;-;-;-;1;-;1;-;-;-;1;2;1;-;2;2;-;2;-;1;-;-;-;1;-;2;2;-;1;-;-;-;-;-;-;-;1;100
"292665 Ribeirão do Largo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"292670 Rio de Contas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"292680 Rio do Antônio";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"292690 Rio do Pires";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;15
"292700 Rio Real";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;1;1;-;-;2;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;2;1;1;2;-;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;45
"292710 Rodelas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"292720 Ruy Barbosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;1;-;-;1;-;-;-;-;-;1;-;-;1;2;2;-;-;2;-;-;1;-;1;1;1;-;1;-;-;1;1;-;-;2;-;-;-;2;1;-;-;-;1;1;-;1;1;1;1;-;1;-;2;-;-;-;-;3;2;2;1;1;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;56
"292730 Salinas da Margarida";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;1;1;1;-;-;-;1;-;-;-;2;-;3;-;-;2;1;1;-;-;1;1;-;1;-;-;1;1;-;-;-;-;1;1;2;-;-;-;-;2;-;-;-;2;-;-;-;-;1;1;-;-;-;-;1;2;1;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;2;-;-;-;1;1;-;1;1;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;62
"292740 Salvador";-;-;-;-;2;5;57;53;57;61;67;58;71;91;71;90;76;78;77;46;76;69;88;58;81;85;74;57;68;71;66;74;85;85;105;84;66;116;93;89;80;74;80;76;90;90;101;77;84;101;90;95;104;110;129;93;118;99;117;106;129;126;112;130;107;119;130;100;117;109;118;117;117;116;95;106;103;79;92;78;108;75;90;87;109;93;93;103;93;99;114;114;138;93;128;99;115;121;138;140;145;96;101;110;140;115;135;111;117;135;125;131;127;120;136;94;133;103;117;131;112;132;117;143;128;89;128;92;121;122;141;115;124;156;108;129;95;103;143;117;121;108;143;93;121;119;120;110;102;103;121;97;114;89;67;65;15344
"292750 Santa Bárbara";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;1;-;-;-;3;1;-;1;1;-;1;1;-;-;1;1;1;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;-;-;-;-;-;-;2;-;-;-;-;2;-;-;-;3;3;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;50
"292760 Santa Brígida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;14
"292770 Santa Cruz Cabrália";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;18
"292780 Santa Cruz da Vitória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"292790 Santa Inês";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"292805 Santa Luzia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;15
"292810 Santa Maria da Vitória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;1;2;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;2;-;-;-;-;-;-;2;-;1;-;-;-;1;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;38
"292840 Santa Rita de Cássia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;16
"292850 Santa Teresinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;18
"292800 Santaluz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;1;1;2;-;-;-;1;-;2;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;2;2;1;1;1;1;2;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;1;-;1;-;3;-;2;1;-;-;-;-;-;-;1;-;-;1;-;-;2;1;-;2;1;2;1;-;1;1;-;1;-;-;1;2;-;-;2;1;1;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;2;-;-;1;-;-;72
"292820 Santana";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;-;-;25
"292830 Santanópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"292860 Santo Amaro";-;-;-;-;-;-;1;1;2;1;-;2;2;4;-;1;3;1;4;-;1;1;-;-;-;1;-;1;1;-;1;1;-;1;-;4;3;1;2;2;-;-;2;-;-;1;-;-;-;-;4;1;1;2;-;-;2;-;2;4;3;3;3;2;-;1;3;1;1;-;1;-;1;-;2;2;-;-;-;-;2;1;1;2;4;2;4;1;2;2;-;1;3;3;1;2;2;2;2;2;2;2;1;-;3;-;1;2;2;-;4;-;1;5;2;1;2;2;1;1;1;2;2;-;-;2;-;2;-;1;1;1;1;2;1;-;1;2;1;3;3;-;1;-;1;-;1;3;1;-;3;1;1;2;1;1;197
"292870 Santo Antônio de Jesus";-;-;-;-;-;-;-;1;-;1;1;2;-;1;-;3;2;-;1;2;-;-;1;1;-;1;-;1;1;1;1;-;1;-;-;-;2;2;2;5;2;2;1;2;-;1;2;-;4;5;2;1;1;4;-;1;4;1;1;1;2;2;1;-;-;1;3;-;1;1;-;-;1;1;1;1;3;1;-;1;2;1;-;1;3;5;-;1;2;1;-;1;1;1;-;2;1;2;4;4;3;3;5;-;3;2;3;1;1;1;3;5;2;1;1;4;2;2;3;-;5;2;-;1;1;4;2;4;-;1;7;2;6;-;3;4;2;2;6;2;4;2;4;3;1;2;-;1;-;2;2;-;3;1;2;-;246
"292880 Santo Estêvão";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;1;2;2;-;-;-;1;1;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;2;-;3;1;-;1;1;1;1;2;-;1;1;1;2;3;1;1;-;-;2;2;1;2;-;1;-;1;-;-;-;-;1;2;1;1;2;1;1;1;-;3;-;3;-;-;1;2;1;-;1;1;-;3;1;1;-;-;2;-;-;-;1;1;-;2;2;3;-;1;1;-;1;2;1;-;-;1;1;-;-;-;-;99
"292890 São Desidério";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;15
"292895 São Domingos";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"292910 São Felipe";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;2;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;2;-;-;-;-;1;1;-;2;1;2;-;-;1;-;-;-;-;2;1;1;3;-;1;1;3;-;-;1;1;1;-;-;1;1;1;-;-;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;1;3;-;-;-;-;-;-;1;-;-;-;1;1;2;1;-;-;-;1;-;1;-;-;-;1;-;1;2;-;2;-;2;1;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;72
"292900 São Félix";-;-;-;-;-;-;1;-;2;-;-;-;4;1;-;-;-;1;2;2;2;1;2;2;-;1;-;-;1;-;-;-;2;2;1;-;1;2;1;1;1;1;1;1;1;3;2;3;-;-;1;3;1;-;-;2;1;-;1;-;3;1;-;-;-;-;-;3;2;-;1;2;1;1;3;2;1;-;-;-;1;-;1;1;-;-;2;1;-;2;-;-;-;-;2;-;1;1;1;-;-;2;-;-;1;-;1;-;-;-;1;-;-;-;2;1;1;-;1;-;2;1;3;1;-;-;1;-;2;-;1;-;-;1;1;-;2;1;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;118
