"Município";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"260470 Correntes";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"260480 Cortês";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;22
"260490 Cumaru";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;19
"260500 Cupira";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;1;-;-;-;-;1;2;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;1;2;1;-;-;-;-;1;-;1;-;2;-;-;1;2;-;-;1;1;3;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;47
"260510 Custódia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;1;1;-;-;1;-;-;1;2;1;1;-;-;1;25
"260515 Dormentes";-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;-;2;2;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;-;-;-;1;-;-;1;-;-;1;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;41
"260520 Escada";-;-;-;-;1;1;1;1;-;1;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4;-;-;1;1;-;1;1;-;-;-;-;-;2;3;-;-;1;-;-;-;-;1;-;1;1;2;-;1;1;-;-;-;-;-;1;-;1;2;2;-;-;-;4;1;-;-;1;-;1;-;2;1;-;1;2;-;2;-;2;1;2;-;4;2;-;1;1;-;5;4;1;1;1;2;2;4;1;-;2;3;1;2;-;-;-;-;-;-;1;1;1;1;1;-;1;1;-;1;-;-;3;-;-;3;1;-;2;-;1;-;1;-;1;-;1;1;-;1;-;1;1;1;-;-;5;1;1;-;126
"260530 Exu";-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;24
"260540 Feira Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;2;-;-;-;1;1;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;28
"260545 Fernando de Noronha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260550 Ferreiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"260560 Flores";-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;1;1;1;-;1;-;-;-;-;3;-;-;-;-;-;-;-;2;-;-;2;1;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;2;-;1;-;-;1;1;-;1;-;-;-;-;-;1;3;-;-;48
"260570 Floresta";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;22
"260580 Frei Miguelinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"260590 Gameleira";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;1;-;-;1;-;1;-;1;1;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;1;-;1;1;-;-;1;-;1;-;-;1;-;-;1;38
"260600 Garanhuns";-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;1;-;-;2;-;1;-;1;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;2;2;-;1;-;-;-;3;2;-;-;-;-;1;-;2;1;-;1;-;1;1;-;-;1;1;2;1;1;1;-;1;-;2;1;-;-;-;1;2;2;-;-;1;-;-;-;2;1;1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;3;1;1;-;2;-;-;-;1;1;-;71
"260610 Glória do Goitá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;-;-;1;-;1;1;1;1;-;1;2;1;1;1;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;1;-;-;2;1;-;-;1;1;1;-;50
"260620 Goiana";-;-;-;-;2;1;3;-;1;-;-;1;1;-;2;-;-;-;2;2;-;2;2;-;2;-;-;-;-;2;1;1;-;3;1;-;-;-;2;2;-;1;1;-;3;1;1;2;2;-;1;1;-;-;1;-;1;1;-;1;2;1;1;2;-;-;1;2;1;2;1;3;-;2;-;-;1;2;2;-;1;3;1;1;1;1;-;2;1;1;-;1;2;1;3;-;-;-;5;1;2;2;1;-;1;-;2;-;1;1;1;-;2;1;1;-;2;1;2;2;1;-;1;1;1;-;-;3;-;1;-;1;1;-;1;1;-;-;1;-;2;-;2;-;-;1;1;-;1;-;-;5;1;-;1;147
"260630 Granito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260640 Gravatá";-;-;-;-;2;-;-;-;1;3;1;-;-;1;-;1;1;2;-;-;2;1;-;1;1;-;-;1;-;-;1;-;2;1;2;-;2;1;1;1;-;-;-;-;-;-;1;-;1;2;2;-;1;1;2;-;2;1;1;2;1;1;3;-;1;1;1;-;1;-;1;1;2;3;-;2;-;-;3;-;1;1;2;1;-;3;2;3;2;2;3;-;-;-;-;-;2;-;2;3;2;-;1;2;1;1;2;2;-;-;-;2;-;-;1;4;-;1;-;-;-;-;1;2;3;-;-;4;1;3;2;3;1;2;1;-;1;-;-;2;-;-;-;2;2;-;1;2;-;-;-;-;-;1;-;146
"260650 Iati";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;12
"260660 Ibimirim";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;2;-;3;1;-;-;1;-;1;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;1;1;1;-;2;1;3;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;1;2;1;1;2;-;1;1;-;1;-;-;1;-;1;1;1;-;-;-;-;58
"260670 Ibirajuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"260680 Igarassu";-;-;1;-;1;1;-;1;-;-;-;2;1;-;1;-;1;-;1;4;1;-;2;2;1;2;1;-;2;1;3;-;-;3;1;1;-;1;2;1;2;3;2;2;-;1;3;8;1;2;3;-;4;2;1;2;-;2;2;2;-;1;1;1;2;-;-;2;3;-;3;3;3;1;4;2;-;3;3;5;2;2;3;2;-;1;1;2;1;3;-;4;3;2;-;-;1;1;1;1;4;4;4;2;4;2;1;3;-;-;3;2;2;1;1;-;1;2;3;3;-;-;-;1;-;-;2;4;1;3;-;-;2;-;2;2;-;2;-;1;-;-;-;1;-;1;-;1;-;1;2;2;-;-;-;217
"260690 Iguaracy";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;2;1;-;-;-;-;-;3;-;1;1;-;2;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;1;-;-;1;-;-;-;-;3;-;-;1;2;1;2;-;2;52
"260760 Ilha de Itamaracá";-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;32
"260700 Inajá";-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;3;-;1;-;-;1;-;1;1;1;2;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;30
"260710 Ingazeira";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;1;-;-;-;1;-;-;-;-;16
"260720 Ipojuca";-;-;-;-;-;-;1;4;1;-;-;-;2;-;-;2;3;-;1;-;1;1;-;1;-;-;1;-;1;-;-;2;1;1;-;-;-;1;-;-;2;2;2;3;1;1;3;2;1;2;2;3;1;5;2;1;1;1;-;1;2;1;-;2;4;3;-;2;2;1;1;2;-;2;-;-;2;4;4;1;1;1;1;-;2;-;1;2;2;1;2;1;-;-;1;1;-;2;-;-;2;2;-;1;5;2;1;1;1;-;-;-;-;-;2;2;-;-;1;-;1;-;-;1;-;-;-;-;-;3;1;1;-;2;1;-;-;4;1;4;1;1;-;3;1;-;1;-;-;1;2;1;2;4;-;167
"260730 Ipubi";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;24
"260740 Itacuruba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"260750 Itaíba";-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"260765 Itambé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;1;-;-;1;-;-;1;1;-;-;1;2;1;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;31
"260770 Itapetim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;2;-;-;16
"260775 Itapissuma";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;1;1;2;-;1;-;-;-;1;1;1;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;45
"260780 Itaquitinga";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;3;1;-;37
"260790 Jaboatão dos Guararapes";-;-;-;1;8;9;5;18;8;9;4;1;3;9;10;8;8;9;1;15;8;8;9;11;9;8;7;7;7;3;9;4;12;8;5;6;3;5;4;7;9;7;10;11;11;6;14;13;14;9;2;7;9;11;6;15;6;11;10;8;8;10;10;6;9;8;11;8;12;18;12;15;7;11;11;8;12;14;17;19;16;11;15;6;13;11;7;10;18;11;14;9;9;12;10;17;4;9;14;8;12;11;12;12;15;9;17;11;11;16;5;5;5;8;8;7;3;9;6;8;3;5;6;3;2;7;7;12;5;7;7;7;12;11;3;6;7;8;6;10;5;4;7;8;9;13;8;12;7;7;8;12;13;7;4;1353
"260795 Jaqueira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"260800 Jataúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;1;1;-;-;1;-;-;1;1;1;-;-;-;1;-;1;1;1;-;-;1;1;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;32
